node	Clust10069	Clust10077	Clust10082	Clust10085	Clust10086	Clust10113	Clust10116	Clust10120	Clust10142	Clust10159	Clust10161	Clust10190	Clust10242	Clust10262	Clust10282	Clust10283	Clust10290	Clust10307	Clust10310	Clust10311	Clust10317	Clust10660	Clust11039	Clust11322	Clust11489	Clust11547	Clust11607	Clust11666	Clust1213	Clust12418	Clust1246	Clust1251	Clust1278	Clust1283	Clust1286	Clust1288	Clust1310	Clust13136	Clust1326	Clust13323	Clust1346	Clust1352	Clust1353	Clust1361	Clust1365	Clust138	Clust14288	Clust1462	Clust14700	Clust14875	Clust14913	Clust15013	Clust1521	Clust1523	Clust15235	Clust1531	Clust15443	Clust15615	Clust1563	Clust1564	Clust1592	Clust160	Clust16021	Clust1607	Clust16100	Clust16177	Clust162	Clust1628	Clust16407	Clust165	Clust16542	Clust16577	Clust1659	Clust16618	Clust16622	Clust16699	Clust1670	Clust16754	Clust1691	Clust1698	Clust1700	Clust17049	Clust17145	Clust1735	Clust17411	Clust1770	Clust17893	Clust17953	Clust18	Clust18119	Clust18286	Clust183	Clust18331	Clust1843	Clust1847	Clust18474	Clust1848	Clust1856	Clust18561	Clust18582	Clust18684	Clust18745	Clust1877	Clust1880	Clust1895	Clust19005	Clust1908	Clust19186	Clust19330	Clust19401	Clust19413	Clust1948	Clust1973	Clust19738	Clust1974	Clust1977	Clust1978	Clust1981	Clust1984	Clust1994	Clust1999	Clust20	Clust20063	Clust202	Clust2033	Clust2044	Clust2046	Clust2047	Clust20484	Clust20661	Clust20674	Clust2069	Clust2074	Clust20741	Clust2078	Clust20794	Clust2083	Clust209	Clust20969	Clust2097	Clust20977	Clust2101	Clust2104	Clust2105	Clust2109	Clust2110	Clust2112	Clust2113	Clust2115	Clust212	Clust2122	Clust2125	Clust2126	Clust2128	Clust2129	Clust2140	Clust2163	Clust2216	Clust2225	Clust224	Clust2251	Clust2259	Clust226	Clust2266	Clust2287	Clust229	Clust2303	Clust2307	Clust2312	Clust2327	Clust2328	Clust2330	Clust234	Clust2361	Clust2370	Clust2372	Clust2373	Clust240	Clust2417	Clust2423	Clust2436	Clust2440	Clust2451	Clust246	Clust2463	Clust2464	Clust2466	Clust2478	Clust2481	Clust2494	Clust2497	Clust25	Clust250	Clust2509	Clust2511	Clust2535	Clust2557	Clust2561	Clust2573	Clust2575	Clust259	Clust2600	Clust2625	Clust2696	Clust27	Clust2705	Clust2718	Clust2732	Clust2738	Clust2750	Clust2777	Clust279	Clust2860	Clust2878	Clust2881	Clust291	Clust2924	Clust2930	Clust2935	Clust2938	Clust294	Clust2940	Clust2942	Clust2945	Clust2950	Clust296	Clust298	Clust2994	Clust30	Clust300	Clust303	Clust3032	Clust3047	Clust305	Clust3068	Clust3096	Clust318	Clust3203	Clust3221	Clust324	Clust332	Clust333	Clust336	Clust3378	Clust3385	Clust340	Clust3402	Clust3528	Clust354	Clust356	Clust3582	Clust3589	Clust3591	Clust360	Clust3617	Clust3618	Clust3627	Clust3629	Clust3630	Clust3685	Clust3703	Clust3721	Clust3735	Clust3748	Clust3749	Clust3756	Clust3757	Clust3762	Clust3765	Clust38	Clust389	Clust392	Clust397	Clust398	Clust3980	Clust4001	Clust401	Clust4026	Clust4028	Clust405	Clust410	Clust411	Clust4143	Clust417	Clust420	Clust422	Clust435	Clust436	Clust438	Clust44	Clust4407	Clust4449	Clust4480	Clust4489	Clust450	Clust4549	Clust455	Clust4588	Clust4601	Clust4641	Clust4685	Clust4735	Clust4736	Clust4748	Clust4767	Clust4791	Clust4799	Clust4810	Clust4813	Clust4835	Clust4836	Clust4841	Clust4880	Clust4883	Clust4891	Clust4895	Clust4900	Clust4907	Clust4909	Clust4949	Clust4951	Clust4956	Clust4969	Clust4974	Clust4978	Clust498	Clust4990	Clust5048	Clust505	Clust509	Clust51	Clust510	Clust512	Clust517	Clust52	Clust534	Clust535	Clust541	Clust56	Clust560	Clust562	Clust563	Clust567	Clust571	Clust572	Clust573	Clust576	Clust585	Clust59	Clust594	Clust600	Clust6032	Clust604	Clust6051	Clust608	Clust613	Clust614	Clust63	Clust630	Clust6311	Clust632	Clust6365	Clust6390	Clust6430	Clust6440	Clust6499	Clust6500	Clust6514	Clust6582	Clust66	Clust6640	Clust6785	Clust6853	Clust6873	Clust69	Clust6912	Clust7186	Clust7187	Clust7232	Clust7266	Clust7294	Clust7320	Clust7326	Clust7331	Clust7372	Clust7397	Clust7497	Clust7537	Clust7619	Clust7620	Clust7621	Clust7656	Clust7660	Clust7663	Clust7665	Clust7679	Clust7680	Clust7684	Clust7685	Clust7697	Clust7699	Clust7722	Clust7726	Clust7732	Clust7733	Clust7737	Clust7745	Clust7791	Clust78	Clust7821	Clust7856	Clust7858	Clust7900	Clust7909	Clust7916	Clust7938	Clust7964	Clust7976	Clust8071	Clust8098	Clust8125	Clust8203	Clust8228	Clust8233	Clust8463	Clust8511	Clust8566	Clust8616	Clust8630	Clust8646	Clust8647	Clust8659	Clust8685	Clust8688	Clust8706	Clust8713	Clust8714	Clust8735	Clust8739	Clust8749	Clust8756	Clust8770	Clust8773	Clust8780	Clust8786	Clust8800	Clust8802	Clust8812	Clust8818	Clust8834	Clust8837	Clust8844	Clust8845	Clust8854	Clust8855	Clust8857	Clust8867	Clust8868	Clust8888	Clust8901	Clust8903	Clust8913	Clust8926	Clust8929	Clust8938	Clust8946	Clust8967	Clust8973	Clust8976	Clust9048	Clust9059	Clust9072	Clust9094	Clust9105	Clust9125	Clust9167	Clust9175	Clust9207	Clust9218	Clust9222	Clust9226	Clust9241	Clust9325	Clust9327	Clust9333	Clust9341	Clust9342	Clust9345	Clust9349	Clust9352	Clust9365	Clust9378	Clust9381	Clust9382	Clust9386	Clust9389	Clust9394	Clust9399	Clust94	Clust9410	Clust9439	Clust9443	Clust9446	Clust9457	Clust9461	Clust9464	Clust9465	Clust9467	Clust9472	Clust9480	Clust9483	Clust9484	Clust9486	Clust9488	Clust9500	Clust9508	Clust9511	Clust9523	Clust9524	Clust9535	Clust9555	Clust9561	Clust9586	Clust9594	Clust9607	Clust9610	Clust9633	Clust9663	Clust9667	Clust9685	Clust9711	Clust9721	Clust9723	Clust9725	Clust9733	Clust9739	Clust9746	Clust9747	Clust9748	Clust98	Clust9805	Clust9809	Clust9823	Clust9841	Clust9880	Clust9895	Clust9917	Clust9926	Clust9933	Clust9934	Clust9940	Clust9941	Clust9962
Klebsiella pneumoniae RH201207	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	0	1	1	1	1	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	1	0	1	1	1	1	0	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0
Klebsiella pneumoniae Ecl8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0
Citrobacter rodentium ICC168	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	1	0	0	0	0	0	1	1	0	0
n1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	1	1	0	0	1	1	0	0
n1			1		1			1								1			1	1																																										1					1																						1																																			1																																							1															1															1																			1															1		1	1				1								1				1																											1																						1																1																																				1	1			1						1								1																																																								1	1	1				1	1				1												1			1		1	1					1	1			1							1						1		1								1				1																															1		1							1			1	1	1		1	1														1					
n4	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0
n4			1		1			1				1				1					1									1																	1	1	1					1		1			1	1						1	1					1		1	1						1	1		1		1		1	1	1				1			1					1																																																							1	1	1			1	1				1	1		1		1																					1																			1															1															1					1					1		1		1					1	1							1								1			1	1						1		1																							1																											1		1						1	1																							1							1																																						1					1							1				1							1							1	1			1						1																1		1					1							1	1																				1				1	1					1		1				1			1	1		1	1				1			1				1							1		1			
n44	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0
n44					1							1	1			1										1																																					1						1	1						1													1			1				1				1			1	1	1		1					1	1		1	1	1		1	1	1		1	1	1	1	1	1				1	1		1		1	1		1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1					1		1	1	1		1	1	1	1	1		1	1				1						1								1									1				1							1															1											1	1	1		1	1	1				1			1		1		1		1	1		1		1	1	1	1			1										1		1	1		1		1						1	1		1			1	1	1	1		1			1	1		1	1		1		1	1	1	1	1		1		1			1		1	1	1							1		1			1	1	1					1	1	1				1	1								1	1		1	1			1		1	1	1	1	1				1	1	1		1	1		1			1			1	1									1	1			1	1	1			1	1	1		1				1		1	1					1							1	1					1	1			1	1			1									1		1						1	1	1	1	1		1		1	1			1				1	1		1					1		1			1											1				1	1	1			1	1		1	1		1		1					1	1					1		1	1	1		1						1			1			1		
Salmonella typhi Ty2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	1	1	0	0	1	1	0	0
Salmonella typhi Ty2	1		1		1			1				1				1			1	1																																										1					1																						1																																			1																																							1															1															1																			1															1		1	1				1								1				1																											1								1														1																1																																				1	1			1						1								1						1																																																		1	1	1				1	1				1												1			1		1	1					1	1			1							1						1		1								1				1																															1		1							1			1	1	1		1	1														1					
n11	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	1	1	0	0	1	1	0	0
n11			1		1			1								1			1	1																																										1					1																						1																																			1																																							1															1															1																			1															1		1	1				1								1				1																											1																						1																1																																				1	1			1						1								1																																																								1	1	1				1	1				1												1			1		1	1					1	1			1							1						1		1								1				1																															1		1							1			1	1	1		1	1														1					
